Q\E	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	401	402	403	404	501	502	503	504	505	506	507	508	509	510	601	602	603	604	605	606	607	608	701	998	1100	;
Q0	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q8	Q3000	Q13	Q3000	Q3000	Q3000	Q3000	Q4	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q14	Q3000	Q9	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q3000	Q1	Q3000	Q3000
Q1	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q21	Q22	Q21	Q22	Q2	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001
Q2	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q24	Q2001	Q2001	Q2001	Q2001	Q3	Q3	Q31	Q2001
Q3	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2000
Q4	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q5	Q5	Q5	Q2101
Q5	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q6	Q6	Q6	Q6	Q6	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101
Q6	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q7	Q7	Q7	Q2101
Q7	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2101	Q2100
Q8	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2201	Q2200
Q9	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q10	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301	Q2301
